ID,Name,Email,Contact Number,Password,LastLoggedInDate,Role,Favourite
1,Margaret,margaret@bio.it,01234567,user123,2023-04-05 02:51:12,user,
2,Donald,donald@biolo.bg,01235689,admin123,1998-02-15 04:22:50,admin,
3,Susan,susan@bxvvv.ye,01345662,pcxggl,1992-11-22 16:37:59,user,
4,Joseph ,joseph@travel.io,01456892,lhvahzog,1971-03-12 23:56:49,user,
5,Sandra,sandra@foodl.sc,01567894,pdhjuef,2010-04-19 13:19:43,user,
6,Michael,michael@urej.pa,01638625,eveqfwv,2000-02-27 17:00:20,admin,
7,Robert,robert@excel.cm,01123489,lnreevh,1977-10-20 19:45:22,user,
8,John,john@yum.bj,01235957,lxrpjoudbe,1990-11-10 22:29:10,user,
,,,,,,,
,,,,,,,
